city_id,display_name
seattle-wa,"Seattle, WA"
columbus-oh,"Columbus, OH"
cdmx,"Mexico City, Mexico"
spgg,"San Pedro Garza García, Mexico"
pittsburgh-pa,"Pittsburgh, PA"
newberg-or,"Newberg, OR"
chicago-il,"Chicago, IL"
amsterdam,"Amsterdam, Netherlands"
la-piedad,"La Piedad, Mexico"
oradell-nj,"Oradell, NJ"
validation-study,Validation Study
zurich,"Zurich, Switzerland"
taipei,"Taipei, Taiwan"
new-taipei-tw,"New Taipei, Taiwan"
keelung-tw,"Keelung, Taiwan"
auckland,"Auckland, New Zealand"
cuenca,"Cuenca, Ecuador"
burnaby,"Burnaby, BC"
teaneck-nj,"Teaneck, NJ"
walla-walla-wa,"Walla Walla, WA"
st-louis-mo,"St. Louis, MO"
la-ca,"Los Angeles, CA"
mendota-il,"Mendota, IL"
knox-oh,"Knox, OH"
kaohsiung-tw,"Kaohsiung, Taiwan"
taichung-tw,"Taichung, Taiwan"
cliffside-park-nj,"Cliffside Park, NJ"
blackhawk-hills-il,"Blackhawk Hills, IL"
columbia-sc,"Columbia, SC"
west-chester-pa,"West Chester, PA"
danville-il,"Danville, IL"
detroit-mi,"Detroit, MI"
hackensack-nj,"Hackensack, NJ"
clifton-nj,"Clifton, NJ"
maywood-nj,"Maywood, NJ"
madison-wi,"Madison, WI"
tainan-tw,"Tainan, Taiwan"
niagara-falls-ny,"Niagara Falls, NY"
chandigarh-india,"Chandigarh, India"
rancagua-chile,"Rancagua, Chile"
vancouver-wa,"Vancouver, WA"
santiago-chile,"Santiago, Chile"
tucson-az,"Tucson, AZ"
paterson-nj,"Paterson, NJ"
richmond-va,"Richmond, VA"
fort-wayne-in,"Fort Wayne, IN"
virden-il,"Virden, IL"
gainesville-fl,"Gainesville, FL"
sao-paulo-brazil,"São Paulo, Brazil"
waltham-ma,"Waltham, MA"
houston-tx,"Houston, TX"
newport-ky,"Newport, KY"
