city_id,eligible,resolved,last_run_requests,last_run_saved,last_run_unavailable,last_run_stop
amsterdam,14847,1754,576,307,269,max-runtime
auckland,2300,1773,580,297,283,max-runtime
blackhawk-hills-il,616,616,0,0,0,None
burnaby,17241,1768,586,372,214,max-runtime
cdmx,47592,1761,583,355,228,max-runtime
chandigarh-india,4222,1763,575,297,278,max-runtime
chicago-il,271299,1718,582,389,193,max-runtime
cliffside-park-nj,1344,1344,153,96,57,None
clifton-nj,576,576,0,0,0,None
columbia-sc,151319,1773,574,362,212,max-runtime
columbus-oh,21808,1760,586,295,291,max-runtime
cuenca,5771,1743,592,376,216,max-runtime
danville-il,13142,1749,583,451,132,max-runtime
detroit-mi,1792,1759,587,499,88,max-runtime
fort-wayne-in,707,707,0,0,0,None
gainesville-fl,30267,1773,595,574,21,max-runtime
hackensack-nj,725,725,0,0,0,None
houston-tx,566,566,0,0,0,None
kaohsiung-tw,209909,1772,595,496,99,max-runtime
keelung-tw,2205,1752,589,276,313,max-runtime
knox-oh,17670,1759,583,430,153,max-runtime
la-ca,213,213,0,0,0,None
la-piedad,500,500,0,0,0,None
madison-wi,2070,1754,583,472,111,max-runtime
maywood-nj,4870,1742,581,431,150,max-runtime
mendota-il,8793,1758,583,392,191,max-runtime
newberg-or,7604,1765,587,251,336,max-runtime
newport-ky,162,162,3,3,0,None
new-taipei-tw,2933,1777,598,254,344,max-runtime
niagara-falls-ny,2376,1769,594,426,168,max-runtime
oradell-nj,5640,1755,584,302,282,max-runtime
paterson-nj,26054,1771,585,509,76,max-runtime
pittsburgh-pa,19496,1763,573,302,271,max-runtime
rancagua-chile,1942,1768,582,351,231,max-runtime
richmond-va,0,0,0,0,0,None
santiago-chile,1154,1154,0,0,0,None
sao-paulo-brazil,623,623,0,0,0,None
seattle-wa,183680,1753,593,282,311,max-runtime
spgg,34684,1770,591,280,311,max-runtime
st-louis-mo,80841,1685,514,318,196,max-runtime
taichung-tw,6731,1777,582,316,266,max-runtime
tainan-tw,972,972,0,0,0,None
taipei,23409,1754,588,294,294,max-runtime
teaneck-nj,24538,1780,593,341,252,max-runtime
tucson-az,5381,1762,590,435,155,max-runtime
validation-study,6702,1780,595,258,337,max-runtime
vancouver-wa,142623,1765,587,422,165,max-runtime
virden-il,1692,1692,526,526,0,None
walla-walla-wa,9896,1094,245,198,47,max-runtime
waltham-ma,6590,1433,271,270,1,max-runtime
west-chester-pa,2709,2274,587,340,247,max-runtime
zurich,3142,1775,603,255,348,max-runtime
